半金比率,ドーピング濃度,予測_抵抗減少量
90,3.100000000000002,0.09316350400000001
91,3.100000000000002,0.09316350400000001
92,3.100000000000002,0.09316350400000001
93,3.100000000000002,0.05128194
94,3.100000000000002,0.05128194
95,3.100000000000002,0.05128194
96,3.100000000000002,0.05128194
97,3.100000000000002,0.05128194
98,3.100000000000002,0.0233146252
99,3.100000000000002,0.0233146252
100,3.100000000000002,0.0233146252
80,3.200000000000002,0.09316350400000001
81,3.200000000000002,0.09316350400000001
82,3.200000000000002,0.09316350400000001
83,3.200000000000002,0.09316350400000001
84,3.200000000000002,0.09316350400000001
85,3.200000000000002,0.09316350400000001
86,3.200000000000002,0.09316350400000001
87,3.200000000000002,0.09316350400000001
88,3.200000000000002,0.09316350400000001
89,3.200000000000002,0.09316350400000001
90,3.200000000000002,0.09316350400000001
91,3.200000000000002,0.09316350400000001
92,3.200000000000002,0.09316350400000001
93,3.200000000000002,0.05128194
94,3.200000000000002,0.05128194
95,3.200000000000002,0.05128194
96,3.200000000000002,0.05128194
97,3.200000000000002,0.05128194
98,3.200000000000002,0.0233146252
99,3.200000000000002,0.0233146252
100,3.200000000000002,0.0233146252
80,3.300000000000002,0.09316350400000001
81,3.300000000000002,0.09316350400000001
82,3.300000000000002,0.09316350400000001
83,3.300000000000002,0.09316350400000001
84,3.300000000000002,0.09316350400000001
85,3.300000000000002,0.09316350400000001
86,3.300000000000002,0.09316350400000001
87,3.300000000000002,0.09316350400000001
88,3.300000000000002,0.09316350400000001
89,3.300000000000002,0.09316350400000001
90,3.300000000000002,0.09316350400000001
91,3.300000000000002,0.09316350400000001
92,3.300000000000002,0.09316350400000001
93,3.300000000000002,0.05128194
94,3.300000000000002,0.05128194
95,3.300000000000002,0.05128194
96,3.300000000000002,0.05128194
97,3.300000000000002,0.05128194
98,3.300000000000002,0.0233146252
99,3.300000000000002,0.0233146252
100,3.300000000000002,0.0233146252
80,3.400000000000002,0.09316350400000001
81,3.400000000000002,0.09316350400000001
82,3.400000000000002,0.09316350400000001
83,3.400000000000002,0.09316350400000001
84,3.400000000000002,0.09316350400000001
85,3.400000000000002,0.09316350400000001
86,3.400000000000002,0.09316350400000001
87,3.400000000000002,0.09316350400000001
88,3.400000000000002,0.09316350400000001
89,3.400000000000002,0.09316350400000001
90,3.400000000000002,0.09316350400000001
91,3.400000000000002,0.09316350400000001
92,3.400000000000002,0.09316350400000001
93,3.400000000000002,0.05128194
94,3.400000000000002,0.05128194
95,3.400000000000002,0.05128194
96,3.400000000000002,0.05128194
97,3.400000000000002,0.05128194
98,3.400000000000002,0.0233146252
99,3.400000000000002,0.0233146252
100,3.400000000000002,0.0233146252
